"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jul-2024","EQ","173.60","173.70","171.51","172.28","171.94","171.80","172.31","184.60","111.65","2,51,27,904","4,32,99,05,477.88","3,60,530"
"08-Jul-2024","EQ","174.60","175.47","172.09","174.71","172.49","172.28","173.35","184.60","111.65","3,14,79,861","5,45,70,79,671.28","2,56,103"
"05-Jul-2024","EQ","176.20","176.20","173.40","176.29","175.00","174.71","174.65","184.60","111.25","3,81,23,217","6,65,83,21,110.79","2,62,997"
"04-Jul-2024","EQ","177.00","178.19","175.82","176.37","176.50","176.29","176.85","184.60","111.25","2,95,04,744","5,21,78,39,029.17","3,78,450"
"03-Jul-2024","EQ","174.54","176.88","174.40","174.54","176.38","176.37","175.56","184.60","111.25","2,90,90,492","5,10,70,40,274.06","3,39,843"
"02-Jul-2024","EQ","174.47","175.75","173.60","174.07","174.61","174.54","174.54","184.60","111.25","3,33,59,495","5,82,25,81,444.09","3,90,213"
"01-Jul-2024","EQ","174.50","175.99","173.51","174.01","174.25","174.07","174.62","184.60","111.25","2,78,07,688","4,85,58,62,130.02","2,60,872"
"28-Jun-2024","EQ","174.17","177.10","173.57","174.16","174.75","174.01","175.29","184.60","108.10","3,75,21,949","6,57,72,42,858.11","2,75,273"
"27-Jun-2024","EQ","172.56","174.95","171.80","172.56","174.35","174.16","173.41","184.60","108.10","4,97,67,976","8,63,02,91,052.14","3,49,831"
"26-Jun-2024","EQ","175.68","176.00","171.84","175.68","172.80","172.56","172.87","184.60","108.10","4,40,06,436","7,60,71,81,995.48","3,46,807"
"25-Jun-2024","EQ","177.99","179.00","175.25","177.96","175.86","175.68","176.61","184.60","108.10","3,05,99,989","5,40,41,51,626.85","3,25,368"
"24-Jun-2024","EQ","177.44","178.95","175.10","179.94","177.80","177.96","177.26","184.60","108.10","4,75,97,307","8,43,70,45,247.90","3,14,462"
"21-Jun-2024","EQ","179.40","180.90","178.18","182.28","179.94","179.94","179.76","184.60","108.10","6,54,94,855","11,77,36,31,523.51","2,84,687"
"20-Jun-2024","EQ","181.60","182.95","179.37","180.02","182.75","182.28","181.91","184.60","108.10","3,88,37,494","7,06,48,44,872.79","2,78,129"
"19-Jun-2024","EQ","182.45","182.49","179.31","181.12","180.07","180.02","180.63","184.60","108.10","2,74,76,795","4,96,31,57,445.21","1,97,494"
"18-Jun-2024","EQ","183.80","184.60","180.60","183.15","181.25","181.12","182.12","184.60","108.10","3,50,32,118","6,37,98,81,671.57","2,95,636"
"14-Jun-2024","EQ","182.95","183.50","181.40","182.56","182.90","183.15","182.61","184.10","108.10","2,85,09,237","5,20,59,31,798.41","2,32,292"
"13-Jun-2024","EQ","183.40","184.10","180.51","182.23","182.50","182.56","182.23","184.10","108.10","3,66,69,164","6,68,21,15,954.32","3,32,013"
"12-Jun-2024","EQ","182.25","183.87","181.50","181.33","182.47","182.23","182.95","183.87","108.10","3,33,04,643","6,09,30,95,872.19","2,54,524"
"11-Jun-2024","EQ","180.50","183.75","180.50","180.29","181.60","181.33","182.06","183.75","108.10","5,55,55,544","10,11,46,35,970.89","3,24,246"
"10-Jun-2024","EQ","180.21","182.10","177.36","178.90","180.45","180.29","180.40","182.10","108.10","7,42,86,848","13,40,10,77,404.61","3,20,294"
